green500_rank,Rmax,total_power,Mflops/Watt,How?,Year,Computer,Total Cores,Name,Manufacturer,top500_rank,Site,Country,RPeak,Segment,Accelerator/Co-Processor Cores,Nmax,Architecture,Processor,Processor_Family,Proc_Frequency,OS,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
124,347400,421.2,824.7863248,Top500,2012,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR",20480,Cab,Cray Inc.,94,Lawrence Livermore National Laboratory,United States,425984,Research,0,2168320,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
125,128566.95,156.06,823.8302576,Submission,2013,"iDataPlex DX360M4, Xeon E5-2680 8C 2.700GHz, Infiniband",6544,,IBM,431,Financial Securities,United States,141350,Industry,0,0,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
126,1033110,1260,819.9285714,Submission,2013,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband FDR",60000,,IBM,31,Max-Planck-Gesellschaft MPI/IPP,Germany,1344000,Research,0,2880000,Cluster,Intel Xeon E5-2680v2  10C 2.800GHz,Intel IvyBridge,2800,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Western Europe,Europe
127,582100,720,808.4722222,Top500,2012,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",32256,,SGI,54,Central Research Institute of Electric Power Industry/CRIEPI,Japan,670925,Research,0,2648520,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Eastern Asia,Asia
128,139255,172.77,806.0137755,Submission,2013,"iDataPlex DX360M4, Xeon E5-2690 8C 2.900GHz, Infiniband FDR",7088,,IBM,364,Electronics Company,Japan,164441.6,Industry,0,0,Cluster,Xeon E5-2690 8C 2.900GHz,Intel SandyBridge,2900,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Eastern Asia,Asia
129,336800,421.2,799.620133,Top500,2012,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR",19712,Pecos,Cray Inc.,98,Sandia National Laboratories,United States,410010,Research,0,2108876,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
130,285800,358.4,797.4330357,Top500,2011,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",16160,Gordon,Cray Inc.,129,UCSD/San Diego Supercomputer Center,United States,336128,Academic,0,2558976,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,RHEL 6.2,Linux,None,8,Intel Xeon E5 (SandyBridge),Xtreme-X GreenBlade GB512X,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
131,484179,609.408,794.5071282,Derived,2013,"Amazon EC2 Cluster, Intel Xeon E5-2670v2  10C 2.500GHz, 10G Ethernet",26496,Amazon EC2 C3 Instance cluster,Self-made,64,Amazon Web Services,United States,593868.8,Industry,0,3373325,Cluster,Intel Xeon E5-2670v2  10C 2.500GHz,Intel IvyBridge,2500,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),Amazon EC2 Cluster,NOW - Intel,10G,10G Ethernet,North America,Americas
132,154000,194.5125,791.722897,Derived,2011,"Bullx B505, Xeon E56xx (Westmere-EP) 2.40 GHz, Infiniband QDR",7020,Tera-100 Hybrid,Bull SA,299,Commissariat a l'Energie Atomique (CEA),France,274560,Research,5460,536576,Cluster,Xeon E5620 4C 2.400GHz,Intel Nehalem,2400,Linux,Linux,NVIDIA 2090,4,Xeon 5600-series (Westmere-EP),Bullx B505,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
133,191938,243.69,787.6318273,Submission,2012,"xSeries x3750 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR",10624,Ada,IBM,209,CNRS/IDRIS-GENCI,France,229478,Academic,0,0,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3750 Cluster,IBM xSeries,Infiniband,Infiniband FDR,Western Europe,Europe
134,178600,227,786.784141,Top500,2012,"MEGWARE MiriQuid, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",10080,Abel,Megware,240,University of Oslo,Norway,209664,Academic,0,2128896,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),MEGWARE MiriQuid,Megware Cluster,Infiniband,Infiniband FDR,Northern Europe,Europe
135,407240,519,784.6628131,Top500,2012,"Cluster Platform SL230s Gen8, Xeon E5-2660 8C 2.200GHz, Infiniband FDR",25376,Triolith,Hewlett-Packard,79,National Supercomputer Centre (NSC),Sweden,446617.6,Academic,0,2375000,Cluster,Xeon E5-2660 8C 2.200GHz,Intel SandyBridge,2200,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,Northern Europe,Europe
136,347400,448,775.4464286,Top500,2011,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",20480,Luna,Cray Inc.,95,Los Alamos National Laboratory,United States,425984,Research,0,2168320,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,RHEL 6.2,Linux,None,8,Intel Xeon E5 (SandyBridge),Xtreme-X GreenBlade GB512X,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
137,1541290,2015.14,764.8550473,Top500,2011,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2  2.6/2.8GHz, Infiniband FDR",96192,Pleiades,SGI,16,NASA/Ames Research Center/NAS,United States,2107000,Research,0,3694336,Cluster,Intel Xeon E5-2680v2  10C 2.800GHz,Intel IvyBridge,2800,SUSE Linux Enterprise Server 11,Linux,None,10,Intel Xeon E5 (IvyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas
138,273973,358.5,764.2203626,Submission,2013,"Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",16384,TEIDE-HPC,Fujitsu,138,Instituto Tecnol—gico y de Energ’as Renovables S.A.,Spain,340787.2,Research,0,1887312,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,CentOS,Linux,None,8,Intel Xeon E5 (SandyBridge),Fujitsu PRIMERGY CX250 S1,Fujitsu Cluster,Infiniband,Infiniband QDR,Southern Europe,Europe
139,136700,182,751.0989011,Top500,2010,"Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",7488,WillowA,Bull SA,373,Atomic Weapons Establishment,United Kingdom,161740,Classified,0,1786550,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Northern Europe,Europe
140,136400,182,749.4505495,Top500,2010,"Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",7488,WillowB,Bull SA,374,Atomic Weapons Establishment,United Kingdom,161740,Classified,0,1786550,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Northern Europe,Europe
141,186900,252,741.6666667,Top500,2011,"Cluster Platform 3000 SL6500, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband",10368,Carter,Hewlett-Packard,227,Purdue University,United States,215654.4,Academic,0,1471712,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 SL6500,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
142,795900,1074,741.0614525,Top500,2011,"Sunway BlueLight MPP, ShenWei processor SW1600 975.00 MHz, Infiniband QDR",137200,Sunway Blue Light,National Research Center of Parallel Computer Engineering & Technology,40,National Supercomputing Center in Jinan,China,1070160,Research,0,3375120,Cluster,ShenWei processor SW1600 16C 975MHz,Others,975,Linux,Linux,None,16,ShenWei,Sunway BlueLight MPP,Sunway BlueLight MPP,Infiniband,Infiniband QDR,Eastern Asia,Asia
143,396700,537,738.7337058,Top500,2012,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",22048,,SGI,82,Norwegian University of Science and Technology,Norway,458598,Academic,0,2203320,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Northern Europe,Europe
144,121800,165.4,736.3966143,Top500,2013,"Relion Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",7232,Crane,Penguin Computing,474,University of Nebraska,United States,150426,Academic,0,1881392,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Relion Cluster,Penguin Computing Cluster,Infiniband,Infiniband QDR,North America,Americas
145,211700,289,732.5259516,Top500,2012,"NUDT YH MPP, Xeon X56xx (Westmere-EP) 2.93 GHz, Proprietary",13312,Tianhe-1A Guangzhou Solution,NUDT,195,National Super Computer Center in Guangzhou,China,335687.68,Research,7168,1400000,MPP,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),NUDT YH MPP,NUDT MPP,Proprietary Network,Proprietary,Eastern Asia,Asia
146,332000,453.6,731.9223986,Top500,2011,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",19680,Chama,Cray Inc.,100,Sandia National Laboratories,United States,409344,Research,0,2086572,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,RHEL 6.2,Linux,None,8,Intel Xeon E5 (SandyBridge),Xtreme-X GreenBlade GB512X,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
147,155589,213.82,727.6634552,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband",8224,,IBM,292,Electronics,United States,177638.4,Industry,0,0,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Infiniband,Infiniband,North America,Americas
148,155589,213.82,727.6634552,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband",8224,,IBM,293,Electronics,United States,177638.4,Industry,0,0,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Infiniband,Infiniband,North America,Americas
149,130767,179.71,727.6556675,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband",6912,,IBM,406,Electronics,United States,149299,Industry,0,0,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Infiniband,Infiniband,North America,Americas
150,130767,179.71,727.6556675,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband",6912,,IBM,407,Electronics,United States,149299,Industry,0,0,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Infiniband,Infiniband,North America,Americas
151,139243.02,191.36,727.649561,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband",7360,,IBM,365,Petroleum Company,United Kingdom,153088,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Infiniband,Infiniband,Northern Europe,Europe
152,124411,170.98,727.6348111,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband",6576,,IBM,466,Government,United States,136781,Government,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Infiniband,Infiniband,North America,Americas
153,124411,170.98,727.6348111,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband",6576,,IBM,467,Government,United States,136781,Government,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Infiniband,Infiniband,North America,Americas
154,192100,264.32,726.7705811,Derived,2013,"Cray XC30, Intel Xeon E5-2692v2 10C 3.000GHz, Aries interconnect",9440,RTC,Cray Inc.,208,PAWSEY CSIRO/iVEC,Australia,226560,Research,0,1200000,MPP,Intel Xeon E5-2690v2 10C 3.000GHz,Intel IvyBridge,3000,Cray Linux Environment ,Linux,None,10,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Australia and New Zealand,Oceania
155,299300,416.78,718.1246701,Top500,2011,"Supermicro Cluster, QC Opteron 2.1 GHz, ATI Radeon GPU, Infiniband",16368,LOEWE-CSC,Clustervision/Supermicro,117,Universitaet Frankfurt,Germany,508499.2,Academic,0,2095104,Cluster,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Linux,Linux,ATI GPU,12,"Opteron 6100-series ""Magny-Cours""",SuperServer 2022TG-GIBQRF,Supermicro SuperServer,Infiniband,Infiniband QDR,Western Europe,Europe
156,318000,446.4,712.3655914,Top500,2010,"Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",17856,Blackthorn,Bull SA,107,Atomic Weapons Establishment,United Kingdom,371404.8,Classified,0,2668480,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Northern Europe,Europe
157,161259,228.28,706.4087962,Submission,2013,"xSeries x3650 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",8208,,IBM,275,Aerospace Company,United States,177293,Industry,0,0,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650 Cluster,IBM xSeries,Infiniband,Infiniband QDR,North America,Americas
158,346070,500,692.14,Top500,2012,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",18144,airain,Bull SA,96,Commissariat a l'Energie Atomique (CEA)/CCRT,France,391910.4,Research,0,1560384,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
159,268100,388.8,689.5576132,Top500,2012,"Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",14720,Dark Sand,Cray Inc.,143,Sandia National Laboratories,United States,306176,Research,0,2577260,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
160,251500,365.5,688.0984952,Top500,2012,"Itautec Cluster, Xeon X5670 6C 2.930GHz, Infiniband QDR, NVIDIA 2050",17408,Grifo04,Itautec,156,Petr—leo Brasileiro S.A,Brazil,563364,Industry,14336,1136016,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Itautec Cluster,Itautec Cluster,Infiniband,Infiniband QDR,South America,Americas
161,190953,285.38,669.1183685,Submission,2012,"x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",10976,,IBM,212,Petroleum Company,United Kingdom,228301,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Infiniband,Infiniband FDR,Northern Europe,Europe
162,139457,208.42,669.1152481,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband",8016,,IBM,363,Electronics,United States,166733,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Infiniband,Infiniband,North America,Americas
163,771700,1155.07,668.0980373,Top500,2011,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, Proprietary, NVIDIA 2050",53248,Tianhe-1A Hunan Solution,NUDT,42,National Super Computer Center in Hunan,China,1342750.72,Research,28672,2200000,MPP,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),NUDT YH MPP,NUDT MPP,Proprietary Network,Proprietary,Eastern Asia,Asia
164,133700,203.84,655.9065934,Derived,2013,"Cray XC30, Intel Xeon E5-2670v2  10C 2.500GHz, Aries interconnect",7280,,Cray Inc.,384,Deutscher Wetterdienst,Germany,145600,Research,0,1544424,MPP,Intel Xeon E5-2670v2  10C 2.500GHz,Intel IvyBridge,2500,Cray Linux Environment ,Linux,None,10,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
165,133700,203.84,655.9065934,Derived,2013,"Cray XC30, Intel Xeon E5-2670v2  10C 2.500GHz, Aries interconnect",7280,,Cray Inc.,385,Deutscher Wetterdienst,Germany,145600,Research,0,1544424,MPP,Intel Xeon E5-2670v2  10C 2.500GHz,Intel IvyBridge,2500,Cray Linux Environment ,Linux,None,10,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
166,240090,367.08,654.0536123,Derived,2011,"Amazon EC2 Cluster, Xeon 8C 2.60GHz, 10G Ethernet",17024,Amazon EC2 Cluster Compute Instances,Self-made,165,Amazon Web Services,United States,354099.2,Industry,0,2691392,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Amazon EC2 Cluster,NOW - Intel,10G,10G Ethernet,North America,Americas
167,396700,614.25,645.8282458,Derived,2013,"Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, Nvidia K20m",8190,Palmetto2,Hewlett-Packard,81,Clemson University,United States,518021.4,Academic,5070,1152256,Cluster,Xeon E5-2665 8C 2.400GHz,Intel SandyBridge,2400,Linux,Linux,Nvidia K20m,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
168,135400,210.35,643.6890896,Top500,2012,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband FDR",9280,Laurel,Cray Inc.,378,Kyoto University,Japan,193024,Academic,0,1474560,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband FDR,Eastern Asia,Asia
169,1367550,2133.376,641.026242,Derived,2013,"Cray XC30, Intel Xeon E5 v2 12C 2.700GHz, Aries interconnect",76192,ARCHER,Cray Inc.,19,EPSRC,United Kingdom,1645747,Research,0,3369576,MPP,Intel Xeon E5-2697v2 12C 2.700GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
170,1359000,2132,637.4296435,Submission,2012,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",77184,Curie thin nodes,Bull SA,20,CEA/TGCC-GENCI,France,1667174,Research,0,5757528,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
171,2566000,4040,635.1485149,Top500,2010,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050",186368,Tianhe-1A,NUDT,12,National Supercomputing Center in Tianjin,China,4701000,Research,100352,3600000,MPP,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),NUDT YH MPP,NUDT MPP,Proprietary Network,Proprietary,Eastern Asia,Asia
172,214100,337.32375,634.7018258,Derived,2012,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect",11776,Sisu,Cray Inc.,189,CSC (Center for Scientific Computing),Finland,244941,Academic,0,1571472,MPP,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Cray Linux Environment ,Linux,None,8,Intel Xeon E5 (SandyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
173,188700,297.63,634.0086685,Derived,2012,"Z24XX/SL390s Cluster, Xeon E5530/E5645 6C 2.40GHz, Infiniband QDR, NVIDIA 2090/2070",12532,SAGA,Hewlett Packard/WIPRO,225,"Vikram Sarabhai Space Centre, Indian Space Research Organisation",India,394760,Research,9432,660000,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Z24XX/SL390s Cluster,Z24XX/SL390s Cluster,Infiniband,Infiniband QDR,South-central Asia,Asia
174,147329,234.66,627.8402796,Derived,2012,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect",8192,Crystal,Cray Inc.,325,Cray Inc.,United States,170394,Vendor,0,0,MPP,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Cray Linux Environment ,Linux,None,8,Intel Xeon E5 (SandyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
175,978600,1605.12,609.6740431,Derived,2012,"Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",53504,,Fujitsu,32,"National Computational Infrastructure, Australian National University",Australia,1112883,Research,0,3290496,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Fujitsu PRIMERGY CX250 S1,Fujitsu Cluster,Infiniband,Infiniband FDR,Australia and New Zealand,Oceania
176,420400,692.9803125,606.6550412,Derived,2013,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect",24192,Aterui,Cray Inc.,74,National Astronomical Observatory of Japan,Japan,503194,Academic,0,3048192,MPP,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Cray Linux Environment ,Linux,None,8,Intel Xeon E5 (SandyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia
177,295700,499.968,591.437852,Derived,2013,"Cray XC30, Intel Xeon E5-2695v2 12C 2.400GHz, Aries interconnect",17856,Gottfried,Cray Inc.,120,HLRN at Universitaet Hannover / RRZN,Germany,342835,Academic,0,1368192,MPP,Intel Xeon E5-2695v2 12C 2.400GHz,Intel IvyBridge,2400,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
178,295700,499.968,591.437852,Derived,2013,"Cray XC30, Intel Xeon E5-2695v2 12C 2.400GHz, Aries interconnect",17856,Konrad,Cray Inc.,121,HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,Germany,342835,Academic,0,1368192,MPP,Intel Xeon E5-2695v2 12C 2.400GHz,Intel IvyBridge,2400,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
179,166700,282.43,590.2347484,Top500,2012,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect",12288,,Fujitsu,264,"Research Institute for Information Technology, Kyushu University",Japan,181666,Academic,0,1623552,Cluster,SPARC64 IXfx 16C 1.848GHz,Sparc,1848,Linux,Linux,None,16,SPARC64 IXfx,PRIMEHPC FX10,Fujitsu Cluster,Custom Interconnect,Tofu interconnect,Eastern Asia,Asia
180,565700,972,581.9958848,Top500,2011,"Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect",77824,Gaea C2,Cray Inc.,55,NOAA/Oak Ridge National Laboratory,United States,715981,Research,0,0,MPP,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Cray Linux Environment ,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,North America,Americas
181,1237000,2200,562.2727273,Top500,2011,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",70560,Helios,Bull SA,24,"International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration",Japan,1524096,Academic,0,4870152,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Eastern Asia,Asia
182,131900,252.7,521.9628017,Top500,2012,"Supermicro H8QG6, Opteron 6238 12C 2.600GHz, Infiniband QDR",15456,Abisko,Supermicro,398,HPC2N - Umea University,Sweden,160742,Academic,0,2145024,Cluster,Opteron 6238 12C 2.600GHz,AMD x86_64,2600,Linux,Linux,None,12,"Opteron 6200 Series ""Interlagos""",Supermicro H8QG6,Supermicro Cluster,Infiniband,Infiniband QDR,Northern Europe,Europe
183,237900,465.4,511.1731844,Top500,2012,"Fujitsu PRIMERGY CX250 & RX300, Xeon E5-2690 8C 2.900GHz, Infiniband FDR/QDR",11424,,Fujitsu,168,Institute for Molecular Science,Japan,265036.8,Research,0,2228864,Cluster,Xeon E5-2690 8C 2.900GHz,Intel SandyBridge,2900,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Fujitsu PRIMERGY CX250 & RX300,Fujitsu Cluster,Infiniband,Infiniband FDR/QDR,Eastern Asia,Asia
