Green500_Rank,Rmax,Power,How?,Mflops_Per_Watt,Total Cores,Year,Name,Manufacturer,Computer,Site,Country,Segment,Top500_Rank,Accelerator/Co-Processor Cores,Rpeak,Efficiency (%),Nmax,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
125,251500,365.5,Top500,688.0984952,17408,2012,Grifo04,Itautec,"Itautec Cluster, Xeon X5670 6C 2.930GHz, Infiniband QDR, NVIDIA 2050",Petróleo Brasileiro S.A,Brazil,Industry,122,14336,563364,44.64,1136016,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Itautec Cluster,Itautec Cluster,Infiniband,Infiniband QDR,South America,Americas
126,177512,260,Top500,682.7384615,9440,2012,airain,Bull SA,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",Commissariat a l'Energie Atomique (CEA)/CCRT,France,Research,192,0,203904,87.06,2013480,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
127,190953,285.38,Submission,669.1183685,10976,2012,,IBM,"x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Petroleum Company,United Kingdom,Industry,163,0,228301,83.64,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Infiniband,Infiniband FDR,Northern Europe,Europe
128,139457,208.42,Submission,669.1152481,8016,2013,,IBM,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband",Electronics,United States,Industry,273,0,166733,83.64,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Infiniband,Infiniband,North America,Americas
129,771700,1155.07,Top500,668.0980373,53248,2011,Tianhe-1A Hunan Solution,NUDT,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, Proprietary, NVIDIA 2050",National Super Computer Center in Hunan,China,Research,35,28672,1342750.72,57.47,2200000,MPP,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),NUDT YH MPP,NUDT MPP,Proprietary Network,Proprietary,Eastern Asia,Asia
130,240090,367.08,Derived,654.0536123,17024,2011,Amazon EC2 Cluster Compute Instances,Self-made,"Amazon EC2 Cluster, Xeon 8C 2.60GHz, 10G Ethernet",Amazon Web Services,United States,Industry,127,0,354099.2,67.8,2691392,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Amazon EC2 Cluster,NOW - Intel,10G,10G Ethernet,North America,Americas
131,262400,403.2,Derived,650.7936508,5376,2013,Palmetto2,Hewlett-Packard,"Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, NVIDIA K20",Clemson University,United States,Academic,115,3328,339866,77.21,959488,Cluster,Xeon E5-2665 8C 2.400GHz,Intel SandyBridge,2400,Linux,Linux,NVIDIA K20,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
132,135400,210.35,Top500,643.6890896,9280,2012,Laurel,Cray Inc.,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Kyoto University,Japan,Academic,283,0,193024,70.15,1474560,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband FDR,Eastern Asia,Asia
133,1359000,2132,Submission,637.4296435,77184,2012,Curie thin nodes,Bull SA,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",CEA/TGCC-GENCI,France,Research,15,0,1667174,81.52,5757528,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
134,104860,164.9953125,Derived,635.5332064,5760,2013,,Cray Inc.,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect",Japan Advanced Institute of Science and Technology,Japan,Academic,433,0,119808,87.52,1504944,MPP,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Cray Linux Environment,Linux,None,8,Intel Xeon E5 (SandyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect,Eastern Asia,Asia
135,2566000,4040,Top500,635.1485149,186368,2010,Tianhe-1A,NUDT,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050",National Supercomputing Center in Tianjin,China,Research,10,100352,4701000,54.58,3600000,MPP,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),NUDT YH MPP,NUDT MPP,Proprietary Network,Proprietary,Eastern Asia,Asia
136,214100,337.32375,Derived,634.7018258,11776,2012,Sisu,Cray Inc.,"Cray Cascade, Xeon E5-2670 8C 2.600GHz, Aries interconnect",CSC (Center for Scientific Computing),Finland,Academic,146,0,244941,87.41,1571472,MPP,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Cray Linux Environment,Linux,None,8,Intel Xeon E5 (SandyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect,Northern Europe,Europe
137,188700,297.63,Derived,634.0086685,12532,2012,SAGA,Hewlett Packard/WIPRO,"Z24XX/SL390s Cluster, Xeon E5530/E5645 6C 2.40GHz, Infiniband QDR, NVIDIA 2090/2070","Vikram Sarabhai Space Centre, Indian Space Research Organisation",India,Research,174,9432,394760,47.8,660000,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Z24XX/SL390s Cluster,Z24XX/SL390s Cluster,Infiniband,Infiniband QDR,South-central Asia,Asia
138,100500,160,Submission,628.125,8240,2010,Edge,Cray Inc.,"Appro GreenBlade Cluster, Xeon X5660 6C 2.80 GHz, Infiniband QDR, NVIDIA 2050",Lawrence Livermore National Laboratory,United States,Research,469,5768,239866,41.9,1414656,Cluster,Xeon X5660 6C 2.800GHz,Intel Nehalem,2800,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Appro GreenBlade Cluster,Appro Cluster,Infiniband,Infiniband QDR,North America,Americas
139,147329,234.66,Derived,627.8402796,8192,2012,Crystal,Cray Inc.,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect",Cray Inc.,United States,Vendor,248,0,170394,86.46,0,MPP,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Cray Linux Environment,Linux,None,8,Intel Xeon E5 (SandyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect,North America,Americas
140,626900,1026.6375,Derived,610.6342307,35840,2012,Piz Daint,Cray Inc.,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect",Swiss Scientific Computing Center (CSCS),Switzerland,Research,42,0,745472,84.09,2402496,MPP,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Cray Linux Environment,Linux,None,8,Intel Xeon E5 (SandyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect,Western Europe,Europe
141,978600,1605.12,Derived,609.6740431,53504,2012,,Fujitsu,"Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","National Computational Infrastructure, Australian National University",Australia,Research,27,0,1112883,87.93,3290496,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Fujitsu PRIMERGY CX250 S1,Fujitsu Cluster,Infiniband,Infiniband FDR,Australia and New Zealand,Oceania
142,420400,692.9803125,Derived,606.6550412,24192,2013,,Cray Inc.,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect",National Astronomical Observatory of Japan (NAOJ),Japan,Research,63,0,503194,83.55,3048192,MPP,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Cray Linux Environment,Linux,None,8,Intel Xeon E5 (SandyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect,Eastern Asia,Asia
143,166700,282.43,Top500,590.2347484,12288,2012,,Fujitsu,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Research Institute for Information Technology, Kyushu University",Japan,Academic,208,0,181666,91.76,1623552,Cluster,SPARC64 IXfx 16C 1.848GHz,Sparc,1848,Linux,Linux,None,16,SPARC64 IXfx,PRIMEHPC FX10,Fujitsu Cluster,Custom Interconnect,Tofu interconnect,Eastern Asia,Asia
144,565700,972,Top500,581.9958848,77824,2011,Gaea C2,Cray Inc.,"Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect",NOAA/Oak Ridge National Laboratory,United States,Research,48,0,715981,79.01,0,MPP,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Cray Linux Environment,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,North America,Americas
145,1237000,2200,Top500,562.2727273,70560,2011,Helios,Bull SA,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration",Japan,Academic,20,0,1524096,81.16,4870152,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Eastern Asia,Asia
146,110930,200,Top500,554.65,7040,2012,SuperMike-II,Dell,"Dell PowerEdge C6220, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Louisiana State University,United States,Academic,393,0,146432,75.76,1060000,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Dell PowerEdge C6220,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,North America,Americas
147,97574.4,178,Top500,548.1707865,10224,2013,btrzx3,Megware,"Saxonid 6300, Opteron 6348 12C 2.800GHz, Infiniband QDR",Universitaet Bayreuth,Germany,Academic,486,0,114509,85.21,1785000,Cluster,Opteron 6348 12C 2.800GHz,AMD x86_64,2800,Linux,Linux,None,12,"Opterons 6300 Series (""Abu Dhabi"")",Saxonid 6300,Megware Cluster,Infiniband,Infiniband QDR,Western Europe,Europe
148,131900,252.7,Top500,521.9628017,15456,2012,Abisko,Supermicro,"Supermicro H8QG6, Opteron 6238 12C 2.600GHz, Infiniband QDR",HPC2N - Umea University,Sweden,Academic,294,0,160742,82.06,2145024,Cluster,Opteron 6238 12C 2.600GHz,AMD x86_64,2600,Linux,Linux,None,12,"Opteron 6200 Series ""Interlagos""",Supermicro H8QG6,Supermicro Cluster,Infiniband,Infiniband QDR,Northern Europe,Europe
149,237900,465.4,Top500,511.1731844,11424,2012,,Fujitsu,"Fujitsu PRIMERGY CX250 & RX300, Xeon E5-2690 8C 2.900GHz, Infiniband FDR/QDR",Institute for Molecular Science,Japan,Research,129,0,265036.8,89.76,2228864,Cluster,Xeon E5-2690 8C 2.900GHz,Intel SandyBridge,2900,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Fujitsu PRIMERGY CX250 & RX300,Fujitsu Cluster,Infiniband,Infiniband FDR/QDR,Eastern Asia,Asia
150,1271000,2580,Top500,492.6356589,120640,2010,Nebulae,Dawning,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050",National Supercomputing Centre in Shenzhen (NSCS),China,Research,16,64960,2984300,42.59,2359296,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Dawning TC3600 Blade System,Dawning Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
151,225617,467,Top500,483.1199143,33920,2012,MOGON,Megware,"Saxonid 6100, Opteron 6272 16C 2.100GHz, Infiniband QDR",Universitaet Mainz,Germany,Academic,139,0,284928,79.18,2830000,Cluster,Opteron 6272 16C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Saxonid 6100,Megware Cluster,Infiniband,Infiniband QDR,Western Europe,Europe
152,160100,342.3,Top500,467.7183757,22272,2012,Hexagon,Cray Inc.,"Cray XE6m-200, Opteron 6276 16C 2.300GHz, Cray Gemini interconnect",University of Bergen,Norway,Academic,221,0,204902.4,78.13,0,MPP,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Cray Linux Environment,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cray XE6m-200,Cray XE,Cray Interconnect,Cray Gemini interconnect,Northern Europe,Europe
153,831400,1850,Submission,449.4054054,113472,2011,HERMIT,Cray Inc.,"Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect",HWW/Universitaet Stuttgart,Germany,Industry,32,0,1043942.4,79.64,3555552,MPP,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Cray Linux Environment,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,Western Europe,Europe
154,240300,542.34,Derived,443.0799867,37728,2011,,SGI,"Rackable C2112-4G3 Cluster, Opteron 12 Core 2.10 GHz, Infiniband QDR",Calcul Canada/Calcul Québec/Université de Sherbrooke,Canada,Academic,126,0,316915.2,75.82,2030280,Cluster,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours""",SGI Rackable C2112-4G3 Cluster,Rackable Cluster,Infiniband,Infiniband QDR,North America,Americas
155,204075,462.3,Submission,441.4341337,8192,2011,,IBM,"Power 775, POWER7 8C 3.84 GHz, Custom",Environment Canada,Canada,Research,152,0,251396.1,81.18,0,MPP,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,North America,Americas
156,204075,462.3,Submission,441.4341337,8192,2011,,IBM,"Power 775, POWER7 8C 3.84 GHz, Custom",Environment Canada,Canada,Research,153,0,251396.1,81.18,0,MPP,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,North America,Americas
157,459170,1040.18,Submission,441.4332135,18432,2011,,IBM,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",United Kingdom Meteorological Office,United Kingdom,Research,57,0,565641.22,81.18,0,MPP,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
158,382642,866.82,Submission,441.4319005,15360,2011,,IBM,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",United Kingdom Meteorological Office,United Kingdom,Research,70,0,471367.68,81.18,0,MPP,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
159,612226,1386.91,Submission,441.4316718,24576,2011,,IBM,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",ECMWF,United Kingdom,Research,44,0,754188.28,81.18,0,MPP,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
160,612226,1386.91,Submission,441.4316718,24576,2011,,IBM,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",ECMWF,United Kingdom,Research,45,0,754188.28,81.18,0,MPP,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
161,172189,390.07,Submission,441.4310252,6912,2011,,IBM,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",IBM Poughkeepsie Benchmarking Center,United States,Vendor,201,0,212115,81.18,0,MPP,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,North America,Americas
162,127547,288.94,Submission,441.4307469,5120,2012,,IBM,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",United Kingdom Meteorological Office,United Kingdom,Research,315,0,157122.56,81.18,0,MPP,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
163,243900,556.3,Top500,438.4325004,10240,2012,,Hitachi,"Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom","Institute for Materials Research, Tohoku University (IMR)",Japan,Academic,124,0,306388.9,79.6,1576960,Cluster,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Hitachi SR16000 Model M1,Hitachi SR16000,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
164,145600,339.15,Derived,429.3085655,14280,2011,,National Research Center of Parallel Computer Engineering & Technology,"Sunway 4000H Cluster, Xeon X56xx (Westmere-EP) 2.93 GHz, Infiniband QDR",Government,China,Research,251,0,167362,87,1720320,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Sunway 4000H Cluster,Sunway Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
165,230600,540.4,Top500,426.7209474,37056,2011,Mustang,Cray Inc.,"Xtreme-X 1320H-LANL, Opteron 12 Core 2.30 GHz, Infiniband QDR",Los Alamos National Laboratory,United States,Research,137,0,340915,67.64,2240000,Cluster,Opteron 6176 12C 2.300GHz,AMD x86_64,2300,RHEL 6.1,Linux,None,12,"Opteron 6100-series ""Magny-Cours""",Xtreme-X 1320H-LANL,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
166,1515000,3575.63,Submission,423.7015575,63360,2012,DARPA Trial Subset,IBM,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",IBM Development Engineering,United States,Vendor,13,0,1944391.68,77.92,0,MPP,POWER7 8C 3.836GHz,Power,3836,Linux,Linux,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,North America,Americas
167,184809,445.2,Derived,415.1145553,10176,2013,,Cray Inc.,"Cray CS300-AC, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",DOE/Bettis Atomic Power Laboratory,United States,Research,181,0,211661,87.31,1886976,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5 (SandyBridge),Cray CS300-AC,Cray CS300,Infiniband,Infiniband QDR,North America,Americas
168,184809,445.2,Derived,415.1145553,10176,2013,,Cray Inc.,"Cray CS300-AC, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Knolls Atomic Power Laboratory,United States,Research,182,0,211661,87.31,1886976,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5 (SandyBridge),Cray CS300-AC,Cray CS300,Infiniband,Infiniband QDR,North America,Americas
169,316200,780,Top500,405.3846154,47840,2011,Monte Rosa,Cray Inc.,"Cray XE6, Opteron 6272 16C 2.10 GHz, Cray Gemini interconnect",Swiss Scientific Computing Center (CSCS),Switzerland,Research,93,0,401856,78.68,2294400,MPP,Opteron 6272 16C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,Western Europe,Europe
170,136300,337,Submission,404.4510386,14400,2010,Guillimin,IBM,"iDataPlex DX360M3, Xeon 2.66, Infiniband",CLUMEQ - McGill University,Canada,Academic,282,0,153216,88.96,1532160,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
171,177100,442,Submission,400.678733,26244,2011,ALPS,Acer Group,"Acer AR585 F1 Cluster, Opteron 12C 2.2GHz, QDR infiniband",Taiwan National Center for High-performance Computing,Taiwan,Research,193,0,231859,76.38,2301696,Cluster,Opteron 6174 12C 2.200GHz,AMD x86_64,2200,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours""",Acer AR585 F1 Cluster,Acer Group Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
172,190900,504,Submission,378.7698413,65536,2009,Shaheen,IBM,Blue Gene/P Solution,King Abdullah University of Science and Technology,Saudi Arabia,Academic,164,0,222822.4,85.67,0,MPP,PowerPC 450 4C 850MHz,Power,850,CNK/SLES 9,Mixed,None,4,PowerPC 450,BlueGene/P,IBM BlueGene,Proprietary Network,Proprietary,Western Asia,Asia
173,119310,315,Submission,378.7619048,40960,2008,,IBM,Blue Gene/P Solution,IDRIS,France,Academic,359,0,139264,85.67,0,MPP,PowerPC 450 4C 850MHz,Power,850,CNK/SLES 9,Mixed,None,4,PowerPC 450,BlueGene/P,IBM BlueGene,Proprietary Network,Proprietary,Western Europe,Europe
174,415700,1134,Submission,366.5784832,147456,2009,Dawn,IBM,Blue Gene/P Solution,DOE/NNSA/LLNL,United States,Research,66,0,501350,82.92,2958335,MPP,PowerPC 450 4C 850MHz,Power,850,CNK/SLES 9,Mixed,None,4,PowerPC 450,BlueGene/P,IBM BlueGene,Proprietary Network,Proprietary,North America,Americas
175,458611,1260,Submission,363.9769841,163840,2007,Intrepid,IBM,Blue Gene/P Solution,DOE/SC/Argonne National Laboratory,United States,Research,58,0,557056,82.33,0,MPP,PowerPC 450 4C 850MHz,Power,850,CNK/SLES 9,Mixed,None,4,PowerPC 450,BlueGene/P,IBM BlueGene,Proprietary Network,Proprietary,North America,Americas
176,1054000,2910,Top500,362.1993127,153408,2010,Hopper,Cray Inc.,"Cray XE6, Opteron 6172 12C 2.10GHz, Custom",DOE/SC/LBNL/NERSC,United States,Research,24,0,1288627.2,81.79,4537344,MPP,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours""",Cray XE6,Cray XE,Custom Interconnect,Custom Interconnect,North America,Americas
177,660243,1824.93,Derived,361.7908632,90112,2011,HECToR,Cray Inc.,"Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect",University of Edinburgh,United Kingdom,Academic,41,0,829030.4,79.64,0,MPP,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Cray Linux Environment,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,Northern Europe,Europe
178,131200,364.8,Derived,359.6491228,15360,2011,,Hewlett-Packard,"HP ProLiant SL390s G7 Xeon 6C X5650, Infiniband",Energy Company (A),Italy,Industry,297,0,163430.4,80.28,0,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Southern Europe,Europe
179,253000,708.2,Top500,357.2437165,10304,2012,Plasma Simulator,Hitachi,"Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom Interconnect",National Institute for Fusion Science (NIFS),Japan,Research,118,0,316209.15,80.01,1858560,Cluster,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Hitachi SR16000 Model M1,Hitachi SR16000,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
180,152900,430,Top500,355.5813953,20776,2011,VSC-2,Megware,"Megware Saxonid 6100, Opteron 8C 2.2 GHz, Infiniband QDR",Vienna Scientific Cluster,Austria,Academic,238,0,182829,83.63,1994496,Cluster,Opteron 6132 HE 8C 2.200GHz,AMD x86_64,2200,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours""",Saxonid 6100,Megware Cluster,Infiniband,Infiniband QDR,Western Europe,Europe
181,100400,287.04,Derived,349.7770346,8832,2011,SKIF Aurora,RSC Group,"SKIF Aurora Platform - Intel Xeon X5680, Infiniband QDR",South Ural State University,Russia,Academic,471,0,117000,85.81,1042080,Cluster,Xeon X5680 6C 3.330GHz,Intel Nehalem,3330,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),SKIF Aurora Platform,NOW - Intel,Infiniband,Infiniband QDR,Eastern Europe,Europe
182,110526,317.7,Derived,347.8942398,9760,2012,Aurora,Eurotech,"Eurotech Aurora, Xeon X5690 6C 3.470GHz, Infiniband QDR, NVIDIA 2090",E-Security - Selex Elsag,Italy,Industry,395,2560,206336,53.57,467040,Cluster,Xeon X5690 6C 3.470GHz,Intel Nehalem,3470,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Eurotech Aurora,Eurotech Cluster,Infiniband,Infiniband QDR,Southern Europe,Europe
183,121600,354.6,Top500,342.9216018,5632,2011,,Hitachi,"Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom","Information Initiative Center, Hokkaido University",Japan,Academic,345,0,168906.8,71.99,1400000,Cluster,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Hitachi SR16000 Model M1,Hitachi SR16000,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
184,162098,489.75,Submission,330.9811128,15672,2011,,IBM,"iDataPlex DX360M3, Xeon X5670 6C 2.93 GHz, Infiniband QDR",Vestas Wind Systems A/S,Denmark,Industry,212,0,183675.84,88.25,0,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,Northern Europe,Europe
185,168800,510,Submission,330.9803922,16320,2010,Ivanhoe,IBM,"iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband",EDF R&D,France,Industry,205,0,191270.4,88.25,1958400,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries iDataPlex,IBM iDataPlex,Infiniband,Infiniband,Western Europe,Europe
186,104755,316.5,Submission,330.9794629,10128,2011,,IBM,"iDataPlex DX360M3, Xeon X5670 6C 2.93 GHz, Infiniband QDR",IBM Development Engineering,United States,Industry,434,0,118700.16,88.25,0,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
