"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","how.g","mflopswatt","totalcores.g","year.g","name.g","manufacturer.g","computer.g","site.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","efficiency.g","nmax.g","architecture.g","processor.g","processortechnology.g","processorspeedmhz.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","efficiency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"158",2013-06-01,95,-3.854,158,74,196234,217.2,"Top500",903.4714549,8412,2013,"","Inspur","Inspur TS10000, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, K20M/Xeon Phi 5110P","Shanghai Jiaotong University","China","Academic",1900,262559.6,74.74,1671936,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Redhat Linux","Linux","K20M/Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","Inspur TS10000","Inspur Cluster","Infiniband","Infiniband FDR","Eastern Asia","Asia",NA,41,158,"","Inspur TS10000, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, K20M/Xeon Phi 5110P","Shanghai Jiaotong University","Inspur","China",2013,"Academic",8412,1900,196234,262560,75,1671936,0,217,903,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Redhat Linux","Linux","K20M/Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","Inspur TS10000","Inspur Cluster","Infiniband","Infiniband FDR","Eastern Asia","Asia"
"122",2013-06-01,96,-3.861,122,125,251500,365.5,"Top500",688.0984952,17408,2012,"Grifo04","Itautec","Itautec Cluster, Xeon X5670 6C 2.930GHz, Infiniband QDR, NVIDIA 2050","Petróleo Brasileiro S.A","Brazil","Industry",14336,563364,44.64,1136016,"Cluster","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","Itautec Cluster","Itautec Cluster","Infiniband","Infiniband QDR","South America","Americas",98,39,68,"Grifo04","Itautec Cluster, Xeon X5670 6C 2.930GHz, Infiniband QDR, NVIDIA 2050","Petr√≥leo Brasileiro S.A","Itautec","Brazil",2012,"Industry",17408,14336,251500,563364,45,1136016,0,366,688,"Cluster","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","Itautec Cluster","Itautec Cluster","Infiniband","Infiniband QDR","South America","Americas"
"115",2013-06-01,97,-3.865,115,131,262400,403.2,"Derived",650.7936508,5376,2013,"Palmetto2","Hewlett-Packard","Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, NVIDIA K20","Clemson University","United States","Academic",3328,339866,77.21,959488,"Cluster","Xeon E5-2665 8C 2.400GHz","Intel SandyBridge",2400,"Linux","Linux","NVIDIA K20",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas",NA,41,115,"Palmetto2","Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, NVIDIA K20","Clemson University","Hewlett-Packard","United States",2013,"Academic",5376,3328,262400,339866,77,959488,0,NA,NA,"Cluster","Xeon E5-2665 8C 2.400GHz","Intel SandyBridge",2400,"Linux","Linux","NVIDIA K20",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas"
"175",2013-06-01,98,-3.866,175,62,187373,205.72,"Submission",910.8156718,9904,2012,"","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Max-Planck-Gesellschaft MPI/IPP","Germany","Research",0,206003,90.96,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Western Europe","Europe",128,39,87,"","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Max-Planck-Gesellschaft MPI/IPP","IBM","Germany",2012,"Research",9904,0,187373,206003,91,0,0,206,911,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Western Europe","Europe"
"70",2013-06-01,99,-3.869,70,158,382642,866.82,"Submission",441.4319005,15360,2011,"","IBM","Power 775, POWER7 8C 3.836GHz, Custom Interconnect","United Kingdom Meteorological Office","United Kingdom","Research",0,471367.68,81.18,0,"MPP","POWER7 8C 3.836GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","Northern Europe","Europe",57,38,63,"","Power 775, POWER7 8C 3.836GHz, Custom Interconnect","United Kingdom Meteorological Office","IBM","United Kingdom",2011,"Research",15360,0,382642,471368,81,0,0,867,441,"MPP","POWER7 8C 3.836GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","Northern Europe","Europe"
"58",2013-06-01,100,-3.872,58,175,458611,1260,"Submission",363.9769841,163840,2007,"Intrepid","IBM","Blue Gene/P Solution","DOE/SC/Argonne National Laboratory","United States","Research",0,557056,82.33,0,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","North America","Americas",47,31,4,"Intrepid","Blue Gene/P Solution","DOE/SC/Argonne National Laboratory","IBM","United States",2007,"Research",163840,0,458611,557056,82,0,0,1260,364,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","North America","Americas"
"127",2013-06-01,101,-3.891,127,130,240090,367.08,"Derived",654.0536123,17024,2011,"Amazon EC2 Cluster Compute Instances","Self-made","Amazon EC2 Cluster, Xeon 8C 2.60GHz, 10G Ethernet","Amazon Web Services","United States","Industry",0,354099.2,67.8,2691392,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Amazon EC2 Cluster","NOW - Intel","10G","10G Ethernet","North America","Americas",102,38,42,"Amazon EC2 Cluster Compute Instances","Amazon EC2 Cluster, Xeon 8C 2.60GHz, 10G Ethernet","Amazon Web Services","Self-made","United States",2011,"Industry",17024,0,240090,354099,68,2691392,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Amazon EC2 Cluster","NOW - Intel","10G","10G Ethernet","North America","Americas"
"330",2013-06-01,102,-3.891,330,41,125986,101,"Top500",1247.386139,6480,2011,"Manny","Bull SA","Bullx DLC B710 Blades, Intel Xeon E5 v2 12C 2.700GHz, Infiniband FDR","Bull","France","Vendor",0,139968,90.01,986832,"Cluster","Intel Xeon E5 v2 12C 2.700GHz","Intel IvyBridge",2700,"Bullx Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Bullx DLC B710 Blades","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe",61,38,27,"Manny","Bullx DLC B710 Blades, Intel Xeon E5 v2 12C 2.700GHz, Infiniband FDR","Bull","Bull SA","France",2011,"Vendor",6480,0,125986,139968,90,986832,0,101,1247,"Cluster","Intel Xeon E5 v2 12C 2.700GHz","Intel IvyBridge",2700,"Bullx Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Bullx DLC B710 Blades","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe"
"423",2013-06-01,103,-3.892,423,36,106800,72.8,"Top500",1467.032967,8064,2012,"Chundoong","ManyCoreSoft","Chundoong Cluster, Xeon E5-2650 8C 2.000GHz, Infiniband QDR, AMD Radeon HD 7970","Seoul National University","Korea, South","Academic",7168,226464,47.16,825344,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","AMD Radeon HD 7970",8,"Intel Xeon E5 (SandyBridge)","Chundoong Cluster","Chundoong Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia",277,40,277,"Chundoong","Chundoong Cluster, Xeon E5-2650 8C 2.000GHz, Infiniband QDR, AMD Radeon HD 7970","Seoul National University","ManyCoreSoft","Korea, South",2012,"Academic",8064,7168,106800,226464,47,825344,0,73,1467,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","AMD Radeon HD 7970",8,"Intel Xeon E5 (SandyBridge)","Chundoong Cluster","Chundoong Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"190",2013-06-01,104,-3.893,190,81,178148,203.52,"Submission",875.3341195,10240,2012,"Gyre","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","National Centers for Environment Prediction","United States","Research",0,212992,83.64,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas",136,40,136,"Tide","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","National Centers for Environment Prediction","IBM","United States",2012,"Research",10240,0,178148,212992,84,0,0,204,875,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas"
"191",2013-06-01,105,-3.893,191,82,178148,203.52,"Submission",875.3341195,10240,2012,"Tide","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","National Centers for Environment Prediction","United States","Research",0,212992,83.64,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas",135,40,135,"Gyre","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","National Centers for Environment Prediction","IBM","United States",2012,"Research",10240,0,178148,212992,84,0,0,204,875,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas"
"150",2013-06-01,106,-3.895,150,117,211700,289,"Top500",732.5259516,13312,2012,"Tianhe-1A Guangzhou Solution","NUDT","NUDT YH MPP, Xeon X56xx (Westmere-EP) 2.93 GHz, Proprietary","Super Computer Center in Guangzhou","China","Research",7168,335687.68,63.06,1400000,"MPP","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","NUDT YH MPP","NUDT MPP","Proprietary Network","Proprietary","Eastern Asia","Asia",119,39,80,"Tianhe-1A Guangzhou Solution","NUDT YH MPP, Xeon X56xx (Westmere-EP) 2.93 GHz, Proprietary","Super Computer Center in Guangzhou","NUDT","China",2012,"Research",13312,7168,211700,335688,63,1400000,0,289,733,"MPP","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","NUDT YH MPP","NUDT MPP","Proprietary Network","Proprietary","Eastern Asia","Asia"
"149",2013-06-01,107,-3.899,149,120,212553,295,"Submission",720.5186441,12096,2013,"Riptide","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Maui High-Performance Computing Center (MHPCC)","United States","Research",0,251597,84.48,1550025,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas",NA,41,149,"Riptide","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Maui High-Performance Computing Center (MHPCC)","IBM","United States",2013,"Research",12096,0,212553,251597,84,1550025,0,251,846,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas"
"66",2013-06-01,108,-3.9,66,174,415700,1134,"Submission",366.5784832,147456,2009,"Dawn","IBM","Blue Gene/P Solution","DOE/NNSA/LLNL","United States","Research",0,501350,82.92,2958335,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","North America","Americas",54,33,9,"Dawn","Blue Gene/P Solution","DOE/NNSA/LLNL","IBM","United States",2009,"Research",147456,0,415700,501350,83,2958335,0,1134,367,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","North America","Americas"
"161",2013-06-01,109,-3.903,161,107,191938,243.69,"Submission",787.6318273,10624,2012,"Ada","IBM","xSeries x3750 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR","CNRS/IDRIS-GENCI","France","Academic",0,229478,83.64,0,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3750 Cluster","IBM xSeries","Infiniband","Infiniband FDR","Western Europe","Europe",123,40,123,"Ada","xSeries x3750 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR","CNRS/IDRIS-GENCI","IBM","France",2012,"Academic",10624,0,191938,229478,84,0,0,244,788,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3750 Cluster","IBM xSeries","Infiniband","Infiniband FDR","Western Europe","Europe"
"222",2013-06-01,110,-3.909,222,54,158696,170.16,"Submission",932.6281147,8192,2012,"Blue Wonder","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Science and Technology Facilities Council - Daresbury Laboratory","United Kingdom","Research",0,170394,93.13,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Northern Europe","Europe",158,39,114,"Blue Wonder","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Science and Technology Facilities Council - Daresbury Laboratory","IBM","United Kingdom",2012,"Research",8192,0,158696,170394,93,0,0,170,933,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Northern Europe","Europe"
"249",2013-06-01,111,-3.913,249,50,146800,147.46,"Top500",995.52421,14016,2012,"RSC Tornado SUSU","RSC Group","RSC Tornado, Xeon X5680 6C 3.330GHz, Infiniband QDR, Intel Xeon Phi SE10X","South Ural State University","Russia","Academic",11712,236820.48,61.99,695040,"Cluster","Xeon X5680 6C 3.330GHz","Intel Nehalem",3330,"CentOS","Linux","Intel Xeon Phi SE10X",6,"Xeon 5600-series (Westmere-EP)","RSC Tornado","RSC Cluster","Infiniband","Infiniband QDR","Eastern Europe","Europe",170,40,170,"RSC Tornado SUSU","RSC Tornado, Xeon X5680 6C 3.330GHz, Infiniband QDR, Intel Xeon Phi SE10X","South Ural State University","RSC Group","Russia",2012,"Academic",14016,11712,146800,236820,62,695040,0,147,996,"Cluster","Xeon X5680 6C 3.330GHz","Intel Nehalem",3330,"CentOS","Linux","Intel Xeon Phi SE10X",6,"Xeon 5600-series (Westmere-EP)","RSC Tornado","RSC Cluster","Infiniband","Infiniband QDR","Eastern Europe","Europe"
"230",2013-06-01,112,-3.914,230,53,156217,167.5,"Submission",932.638806,8064,2013,"","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Geoscience","United States","Industry",0,167731,93.14,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas",NA,41,230,"","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Geoscience","IBM","United States",2013,"Industry",8064,0,156217,167731,93,0,0,168,933,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas"
"40",2013-06-01,113,-3.925,40,322,674900,3240.801688,"Derived",208.2509407,85440,2010,"Raptor","Cray Inc.","Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect","Air Force Research Laboratory","United States","Government",0,854400,78.99,0,"MPP","Opteron 16C 2.500GHz","AMD x86_64",2500,"Linux","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","North America","Americas",34,36,18,"Raptor","Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect","Air Force Research Laboratory","Cray Inc.","United States",2010,"Government",85440,0,674900,854400,79,0,0,NA,NA,"MPP","Opteron 16C 2.500GHz","AMD x86_64",2500,"Linux","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","North America","Americas"
"189",2013-06-01,114,-3.925,189,108,178600,227,"Top500",786.784141,10080,2012,"Abel","Megware","MEGWARE MiriQuid, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","University of Oslo","Norway","Academic",0,209664,85.18,2128896,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","MEGWARE MiriQuid","Megware Cluster","Infiniband","Infiniband FDR","Northern Europe","Europe",134,39,96,"Abel","MEGWARE MiriQuid, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","University of Oslo","Megware","Norway",2012,"Academic",10080,0,178600,209664,85,2128896,0,227,787,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","MEGWARE MiriQuid","Megware Cluster","Infiniband","Infiniband FDR","Northern Europe","Europe"
"176",2013-06-01,115,-3.929,176,113,186900,252,"Top500",741.6666667,10368,2011,"Carter","Hewlett-Packard","Cluster Platform 3000 SL6500, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband","Purdue University","United States","Academic",0,215654.4,86.67,1471712,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 SL6500","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas",129,38,54,"Carter","Cluster Platform 3000 SL6500, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband","Purdue University","Hewlett-Packard","United States",2011,"Academic",10368,0,186900,215654,87,1471712,0,252,742,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 SL6500","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas"
"246",2013-06-01,116,-3.929,246,56,148778,159.53,"Submission",932.6020184,7680,2012,"","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Centro Euro-Mediterraneo per i Cambiamenti Climatici","Italy","Research",0,159744,93.14,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Southern Europe","Europe",168,39,121,"","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Centro Euro-Mediterraneo per i Cambiamenti Climatici","IBM","Italy",2012,"Research",7680,0,148778,159744,93,0,0,160,933,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Southern Europe","Europe"
"247",2013-06-01,117,-3.929,247,55,148778,159.53,"Submission",932.6020184,7680,2013,"","IBM","iDataPlex DX360M3, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","NASA/Goddard Space Flight Center","United States","Research",0,159744,93.14,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband QDR","North America","Americas",NA,41,247,"","iDataPlex DX360M3, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","NASA/Goddard Space Flight Center","IBM","United States",2013,"Research",7680,0,148778,159744,93,0,0,160,933,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband QDR","North America","Americas"
"289",2013-06-01,118,-3.929,289,44,133700,128.769,"Submission",1038.293378,7308,2010,"CSIRO GPU Cluster","Xenon Systems","Nitro G16 3GPU, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, NVIDIA 2050","CSIRO","Australia","Government",5292,226926,58.92,925285,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Windows HPC 2008","Windows","NVIDIA 2050",8,"Intel Xeon E5 (SandyBridge)","Nitro G16 3GPU","Xenon Cluster","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania",183,36,146,"CSIRO GPU Cluster","Nitro G16 3GPU, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, NVIDIA 2050","CSIRO","Xenon Systems","Australia",2010,"Government",7308,5292,133700,226926,59,925285,0,NA,NA,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Windows HPC 2008","Windows","NVIDIA 2050",8,"Intel Xeon E5 (SandyBridge)","Nitro G16 3GPU","Xenon Cluster","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania"
"224",2013-06-01,119,-3.933,224,88,157708,181.31,"Submission",869.8251613,8336,2013,"","IBM","IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Automotive","United States","Industry",0,173389,90.96,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","IBM Flex System x240","IBM Flex System","Infiniband","Infiniband FDR","North America","Americas",NA,41,224,"","IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Automotive","IBM","United States",2013,"Industry",8336,0,157708,173389,91,0,0,181,870,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","IBM Flex System x240","IBM Flex System","Infiniband","Infiniband FDR","North America","Americas"
"225",2013-06-01,120,-3.933,225,89,157708,181.31,"Submission",869.8251613,8336,2013,"","IBM","IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Automotive","United States","Industry",0,173389,90.96,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","IBM Flex System x240","IBM Flex System","Infiniband","Infiniband FDR","North America","Americas",NA,41,225,"","IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Automotive","IBM","United States",2013,"Industry",8336,0,157708,173389,91,0,0,181,870,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","IBM Flex System x240","IBM Flex System","Infiniband","Infiniband FDR","North America","Americas"
"226",2013-06-01,121,-3.933,226,90,157708,181.31,"Submission",869.8251613,8336,2013,"","IBM","IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Automotive","United States","Industry",0,173389,90.96,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","IBM Flex System x240","IBM Flex System","Infiniband","Infiniband FDR","North America","Americas",NA,41,226,"","IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Automotive","IBM","United States",2013,"Industry",8336,0,157708,173389,91,0,0,181,870,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","IBM Flex System x240","IBM Flex System","Infiniband","Infiniband FDR","North America","Americas"
"146",2013-06-01,122,-3.936,146,136,214100,337.32375,"Derived",634.7018258,11776,2012,"Sisu","Cray Inc.","Cray Cascade, Xeon E5-2670 8C 2.600GHz, Aries interconnect","CSC (Center for Scientific Computing)","Finland","Academic",0,244941,87.41,1571472,"MPP","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Cray Linux Environment","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect","Northern Europe","Europe",118,40,118,"Sisu","Cray Cascade, Xeon E5-2670 8C 2.600GHz, Aries interconnect ","CSC (Center for Scientific Computing)","Cray Inc.","Finland",2012,"Academic",11776,0,214100,244941,87,1571472,0,NA,NA,"MPP","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Cray Linux Environment ","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Northern Europe","Europe"
