"","date","ExaRank","exascalar","top500rank","green500rank.g","site.g","manufacturer.g","name.g","computer.g","country.g","mflopswatt","power.g","cores.g","rmax.g","rpeak.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","efficiency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"49",2012-11-01,127,-4.049,49,253,"Texas Advanced Computing Center/Univ. of Texas","Sun Microsystems","Ranger","SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband","United States",216.6,2000,62976,433200,579379.2,39,35,10,"Red Sky","Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband","Sandia National Laboratories / National Renewable Energy Laboratory","Sun Microsystems","United States",2010,"Research",42440,0,433500,497396,87,2504421,0,NA,NA,"Cluster","Xeon X5570 4C 2.930GHz","Intel Nehalem",2930,"CentOS","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","Sun Blade x6275","Sun Blade System","Infiniband","Infiniband","North America","Americas"
"169",2012-11-01,128,-4.054,169,125,"Cray Inc.","Cray Inc.","Crystal","Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect","United States",627.8224432,234.6666667,8192,147329,170394,NA,40,169,"Crystal","Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect ","Cray Inc.","Cray Inc.","United States",2012,"Vendor",8192,0,147329,170394,86,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Cray Linux Environment ","Linux","None",8,"Intel Xeon E5","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","North America","Americas"
"95",2012-11-01,129,-4.061,95,176,"National Institute for Fusion Science (NIFS)","Hitachi","Plasma Simulator","Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom Interconnect","Japan",357.2437165,708.2,10304,253000,316209.15,NA,33,65,"Plasma Simulator","Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom Interconnect","National Institute for Fusion Science (NIFS)","Hitachi","Japan",2012,"Research",10304,0,253000,316209,80,1858560,0,708,357,"Cluster","POWER7 8C 3.836GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Hitachi SR16000 Model M1","Hitachi SR16000","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia"
"120",2012-11-01,130,-4.062,120,152,"Environment Canada","IBM","","Power 775, POWER7 8C 3.84 GHz, Custom","Canada",441.4341337,462.3,8192,204075,251396.1,91,38,56,"","Power 775, POWER7 8C 3.84 GHz, Custom","Environment Canada","IBM","Canada",2011,"Research",8192,0,204075,251396,81,0,0,462,441,"MPP","POWER7 8C 3.836GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas"
"121",2012-11-01,131,-4.062,121,151,"Environment Canada","IBM","","Power 775, POWER7 8C 3.84 GHz, Custom","Canada",441.4341337,462.3,8192,204075,251396.1,90,38,57,"","Power 775, POWER7 8C 3.84 GHz, Custom","Environment Canada","IBM","Canada",2011,"Research",8192,0,204075,251396,81,0,0,462,441,"MPP","POWER7 8C 3.836GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas"
"181",2012-11-01,132,-4.072,181,120,"Kyoto University","Appro International","Laurel","Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Japan",643.6890896,210.35,9280,135400,193024,127,39,127,"","Cluster Platform SL250s Gen8, Xeon E5-2660 8C 2.200GHz, Infiniband FDR, NVIDIA 2090","Research Center","Hewlett-Packard","China",2012,"Research",8064,5376,135374,270749,50,0,0,NA,NA,"Cluster","Xeon E5-2660 8C 2.200GHz","Intel SandyBridge",2200,"Linux","Linux","NVIDIA 2090",8,"Intel Xeon E5","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","Eastern Asia","Asia"
"47",2012-11-01,133,-4.073,47,297,"Energy Company (D)","Hewlett-Packard","","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","United States",189.1413277,2419.2,32256,457570.7,670925,38,31,4,"Intrepid","Blue Gene/P Solution","DOE/SC/Argonne National Laboratory","IBM","United States",2007,"Research",163840,0,458611,557056,82,0,0,1260,364,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","North America","Americas"
"277",2012-11-01,134,-4.075,277,88,"Bull","Bull SA","Bull Benchmarks SuperComputer I","Bullx B510, Xeon E5 (Sandy Bridge - EP) 8C 2.70GHz, Infiniband QDR","France",809.3645991,132.2,5760,106998,124416,NA,40,277,"Chundoong","Chundoong Cluster, Xeon E5-2650 8C 2.000GHz, Infiniband QDR, AMD Radeon HD 7970","Seoul National University","ManyCoreSoft","Korea, South",2012,"Academic",8064,7168,106800,226464,47,825344,0,73,1467,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","AMD Radeon HD 7970",8,"Intel Xeon E5","Chundoong Cluster","Chundoong Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"365",2012-11-01,135,-4.08,365,47,"Indian Institute of Technology Madras","IBM","Virgo","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","India",932.6169276,97.71,4704,91126,97843,225,37,99,"Fission","Appro Xtreme-X3 Opteron 2.4GHz, Infiniband QDR","Idaho National Laboratory","Appro International","United States",2011,"Research",12512,0,91030,120115,76,0,0,360,253,"Cluster","Opteron 6136 8C 2.400GHz","AMD x86_64",2400,"Linux","Linux","None",8,"Opteron 6100-series ""Magny-Cours"" ","Appro XtremeServers","Appro XtremeServer","Infiniband","Infiniband QDR","North America","Americas"
"338",2012-11-01,136,-4.094,338,67,"Geoscience","IBM","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.8992141,108.15,7392,93647,244890,209,38,135,"","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience","IBM","United States",2011,"Industry",7392,5376,93647,244890,38,0,0,108,866,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"339",2012-11-01,137,-4.095,339,66,"Geoscience","IBM","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.8992141,108.15,7392,93647,244890,NA,40,339,"","Cluster Platform SL230s/SL250s, Xeon E5-2630 6C 2.300GHz, 10G Ethernet, NVIDIA 2090","Columbia University","Hewlett-Packard","United States",2012,"Academic",8640,2304,93431,212342,44,0,0,NA,NA,"Cluster","Xeon E5-2630 6C 2.300GHz","Intel SandyBridge",2300,"Linux","Linux","NVIDIA 2090",6,"Intel Xeon E5","Cluster Platform SL230s/SL250s","HP Cluster Platform 3000SL","Gigabit Ethernet","10G Ethernet","North America","Americas"
"74",2012-11-01,138,-4.096,74,222,"NOAA Environmental Security Computer Center","SGI","Zeus","SGI Altix ICE 8400EX, Xeon X5690 6C 3.470GHz, Infiniband QDR","United States",249.9316684,1291.953125,27600,322900,382648.32,109,38,71,"Zeus","SGI Altix ICE 8400EX, Xeon X5690 6C 3.470GHz, Infiniband QDR","NOAA Environmental Security Computer Center","SGI","United States",2011,"Research",27600,0,322900,382648,84,2322432,0,NA,NA,"MPP","Xeon X5690 6C 3.470GHz","Intel Nehalem",3470,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","SGI ICE 8400EX","SGI Altix","Infiniband","Infiniband QDR","North America","Americas"
"75",2012-11-01,139,-4.096,75,215,"Georgia Institute of Technology","Hewlett-Packard","Keeneland","Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, NVIDIA 2090","United States",252.178346,1267.2,16896,319560.4,614539.2,172,36,118,"Keeneland","Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, NVIDIA 2090","Georgia Institute of Technology","Hewlett-Packard","United States",2011,"Research",16896,12672,319560,614539,52,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","NVIDIA 2090",8,"Intel Xeon E5","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas"
"419",2012-11-01,140,-4.101,419,44,"Automotive Company","IBM","","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","United States",932.6973397,91.72,4416,85547,91853,269,39,269,"","Cluster Platform SL170s, Xeon X5650 6C 2.66GHz, Infiniband QDR","Geoscience (P)","Hewlett-Packard","United States",2012,"Industry",10368,0,85007,110316,77,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL170s","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","North America","Americas"
"390",2012-11-01,141,-4.112,390,65,"University of Miami","IBM","","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","United States",875.3209275,100.49,5056,87961,105165,243,37,104,"","Cluster Platform 3000 DL165, Opteron 2.1 GHz 12C, GigE","Financial Services Company (G)","Hewlett-Packard","United States",2011,"Industry",20784,0,87543,174586,50,0,0,NA,NA,"Cluster","Opteron 6172 12C 2.100GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","HP DL165 Cluster","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"146",2012-11-01,142,-4.114,146,155,"IBM Poughkeepsie Benchmarking Center","IBM","","Power 775, POWER7 8C 3.836GHz, Custom Interconnect","United States",441.4310252,390.07,6912,172189,212115,113,37,50,"","Power 775, POWER7 8C 3.836GHz, Custom Interconnect","IBM Poughkeepsie Benchmarking Center","IBM","United States",2011,"Vendor",6912,0,172189,212115,81,0,0,390,441,"MPP","POWER7 8C 3.836GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas"
"470",2012-11-01,143,-4.115,470,42,"Navy DoD Supercomputing Resource Center (Navy DSRC)","IBM","Cernan","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","United States",974.6443723,80.14,4032,78108,83866,307,39,307,"","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Infiniband QDR","Web Company (C)","Hewlett-Packard","China",2012,"Industry",9462,0,77856,100676,77,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"448",2012-11-01,144,-4.118,448,46,"University of Chicago","IBM","","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","United States",932.6235389,86.41,4160,80588,86528,294,34,59,"Mana","Dell PowerEdge M610 Cluster, Nehalem-EP 2.8Ghz, Infiniband","Maui High-Performance Computing Center (MHPCC)","Dell","United States",2009,"Research",9210,0,80580,103219,78,0,0,NA,NA,"Cluster","Xeon X5560 4C 2.800GHz","Intel Nehalem",2800,"Linux","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","PowerEdge M610 Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband","North America","Americas"
"157",2012-11-01,145,-4.119,157,143,"University of Bergen","Cray Inc.","Hexagon","Cray XE6m-200, Opteron 6276 16C 2.300GHz, Cray Gemini interconnect","Norway",467.7183757,342.3,22272,160100,204902.4,112,39,112,"Hexagon","Cray XE6m-200, Opteron 6276 16C 2.300GHz, Cray Gemini interconnect","University of Bergen","Cray Inc.","Norway",2012,"Academic",22272,0,160100,204902,78,0,0,342,468,"MPP","Opteron 6276 16C 2.300GHz","AMD x86_64",2300,"Cray Linux Environment ","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6m-200","Cray XE","Cray Interconnect","Cray Gemini interconnect","Northern Europe","Europe"
"407",2012-11-01,146,-4.121,407,79,"Geoscience (P)","IBM","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.8765382,99.14,6776,85843,224483,263,38,157,"","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38,0,0,99,866,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"408",2012-11-01,147,-4.121,408,78,"Geoscience (P)","IBM","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.8765382,99.14,6776,85843,224483,264,38,158,"","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38,0,0,99,866,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"409",2012-11-01,148,-4.121,409,77,"Geoscience (P)","IBM","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.8765382,99.14,6776,85843,224483,265,38,159,"","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38,0,0,99,866,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"410",2012-11-01,149,-4.121,410,76,"Geoscience (P)","IBM","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.8765382,99.14,6776,85843,224483,266,38,160,"","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38,0,0,99,866,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"411",2012-11-01,150,-4.121,411,75,"Geoscience (P)","IBM","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.8765382,99.14,6776,85843,224483,267,38,161,"","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38,0,0,99,866,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"412",2012-11-01,151,-4.121,412,74,"Geoscience (P)","IBM","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.8765382,99.14,6776,85843,224483,268,38,162,"","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38,0,0,99,866,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"413",2012-11-01,152,-4.121,413,73,"Geoscience (P)","IBM","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.8765382,99.14,6776,85843,224483,257,38,163,"","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38,0,0,99,866,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"414",2012-11-01,153,-4.121,414,72,"Geoscience (P)","IBM","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.8765382,99.14,6776,85843,224483,258,38,164,"","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38,0,0,99,866,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"415",2012-11-01,154,-4.121,415,71,"Geoscience (P)","IBM","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.8765382,99.14,6776,85843,224483,259,38,165,"","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38,0,0,99,866,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"416",2012-11-01,155,-4.121,416,70,"Geoscience (P)","IBM","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.8765382,99.14,6776,85843,224483,260,38,166,"","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38,0,0,99,866,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"417",2012-11-01,156,-4.121,417,69,"Geoscience (P)","IBM","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.8765382,99.14,6776,85843,224483,261,38,155,"","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38,0,0,99,866,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"57",2012-11-01,157,-4.122,57,287,"Energy Company","Hewlett-Packard","","Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","United States",193.8560179,1917.6,25568,371738.3,531814,51,38,62,"","Power 775, POWER7 8C 3.836GHz, Custom Interconnect","United Kingdom Meteorological Office","IBM","United Kingdom",2011,"Research",15360,0,382642,471368,81,0,0,867,441,"MPP","POWER7 8C 3.836GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","Northern Europe","Europe"
"418",2012-11-01,158,-4.122,418,68,"Geoscience (P)","IBM","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.8765382,99.14,6776,85843,224483,NA,40,418,"","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Automotive Company","IBM","United States",2012,"Industry",4416,0,85547,91853,93,0,0,92,933,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas"
"375",2012-11-01,159,-4.128,375,87,"National Center for High Performance Computing","Self-made","Formosa 5","Hybrid Cluster, Xeon X5670 6C 2.930GHz, Infiniband QDR, NVIDIA 2070","Taiwan",809.5409541,111.1,4968,89940,155079,233,38,298,"","Rackable C1103-G15, Opteron 6234 12C 2.40 GHz, Infiniband QDR","Poznan Supercomputing and Networking Center, Institute of Bioorganic Chemistry","SGI","Poland",2011,"Research",9498,4410,89750,211070,43,708480,0,NA,NA,"Cluster","Opteron 6234  12C 2.400GHz","AMD x86_64",2400,"Linux","Linux","NVIDIA 2050",12,"Opteron 6200 Series ""Interlagos""","SGI Rackable C1103-G15","Rackable Cluster","Infiniband","Infiniband QDR","Eastern Europe","Europe"
"126",2012-11-01,160,-4.129,126,167,"King Abdullah University of Science and Technology","IBM","Shaheen","Blue Gene/P Solution","Saudi Arabia",378.7698413,504,65536,190900,222822.4,85,33,14,"Shaheen","Blue Gene/P Solution","King Abdullah University of Science and Technology","IBM","Saudi Arabia",2009,"Academic",65536,0,190900,222822,86,0,0,504,379,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","Western Asia","Asia"
"138",2012-11-01,161,-4.135,138,164,"Taiwan National Center for High-performance Computing","Acer Group","ALPS","Acer AR585 F1 Cluster, Opteron 12C 2.2GHz, QDR infiniband","Taiwan",400.678733,442,26244,177100,231859,98,37,42,"ALPS","Acer AR585 F1 Cluster, Opteron 12C 2.2GHz, QDR infiniband","Taiwan National Center for High-performance Computing","Acer Group","Taiwan",2011,"Research",26244,0,177100,231859,76,2301696,0,NA,NA,"Cluster","Opteron 6174 12C 2.200GHz","AMD x86_64",2200,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","Acer AR585 F1 Cluster","Acer Group Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"393",2012-11-01,162,-4.138,393,91,"CEA/TGCC-GENCI","Bull SA","Curie fat nodes","Bullx S6010 Cluster,  Xeon 2.26 Ghz 8-core, QDR Infiniband","France",803.9522059,108.8,11520,87470,104417,246,37,129,"","BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, Infiniband","Energy Company (A)","IBM","Italy",2011,"Industry",10224,0,87438,109029,80,0,0,335,261,"Cluster","Xeon X5550 4C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Infiniband","Infiniband","Southern Europe","Europe"
"188",2012-11-01,163,-4.145,188,135,"HPC2N - Umea University","Supermicro","Abisko","Supermicro H8QG6, Opteron 6238 12C 2.600GHz, Infiniband QDR","Sweden",521.9628017,252.7,15456,131900,160742,131,33,19,"Juno","Appro XtremeServer 1143H, Opteron QC 2.2Ghz, Infiniband","Lawrence Livermore National Laboratory","Appro International","United States",2008,"Research",18224,0,131600,162200,81,1854663,0,1139,116,"Cluster","Opteron Quad Core 4C 2.200GHz","AMD x86_64",2200,"Redhat Linux","Linux","None",4,"Opteron Quad Core","Appro XtremeServer 1143H","Appro XtremeServer","Infiniband","Infiniband","North America","Americas"
"341",2012-11-01,164,-4.152,341,108,"SGI","SGI","","SGI Altix X, Xeon E5-2690 8C 2.900GHz, Infiniband FDR","United States",722.248062,129,4608,93170,106906,NA,40,341,"","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Financial Securities","IBM","United States",2012,"Industry",16512,0,93046,343450,27,0,0,340,274,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","iDataPlex DX360M4","IBM iDataPlex","Gigabit Ethernet","10G Ethernet","North America","Americas"
"94",2012-11-01,165,-4.155,94,213,"SciNet/University of Toronto/Compute Canada","IBM","GPC","xSeries iDataPlex, Xeon E5540 4C 2.53GHz, Infiniband","Canada",254.0106796,1030,30912,261631,312829.44,66,33,16,"GPC","xSeries iDataPlex, Xeon E5540 4C 2.53GHz, Infiniband","SciNet/University of Toronto/Compute Canada","IBM","Canada",2009,"Research",30912,0,261631,312829,84,2526944,0,1030,254,"Cluster","Xeon E5540 4C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","xSeries iDataPlex","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"76",2012-11-01,166,-4.156,76,264,"ERDC DSRC","Cray Inc.","Garnet","Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect","United States",208.2510018,1530.580872,40352,318745,403520,116,36,44,"Garnet","Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect","ERDC DSRC","Cray Inc.","United States",2010,"Research",40352,0,318745,403520,79,0,0,NA,NA,"MPP","Opteron 16C 2.500GHz","AMD x86_64",2500,"Linux","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","North America","Americas"
"376",2012-11-01,167,-4.166,376,110,"Poznan Supercomputing and Networking Center, Institute of Bioorganic Chemistry","SGI","","Rackable C1103-G15, Opteron 6234 12C 2.40 GHz, Infiniband QDR","Poland",715.1394422,125.5,9498,89750,211069.8,234,37,395,"","iDataPlex DX360M3, Xeon X5660 6C 2.80 GHz, Infiniband QDR","Geoscience","IBM","United States",2011,"Industry",9072,0,89670,101606,88,0,0,213,422,"Cluster","Xeon X5660 6C 2.800GHz","Intel Nehalem",2800,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband QDR","North America","Americas"
"303",2012-11-01,168,-4.171,303,124,"Lawrence Livermore National Laboratory","Appro International","Edge","Appro GreenBlade Cluster, Xeon X5660 6C 2.80 GHz, Infiniband QDR, NVIDIA 2050","United States",628.125,160,8240,100500,239866,185,37,87,"SKIF Aurora","SKIF Aurora Platform - Intel Xeon X5680, Infiniband QDR","South Ural State University","RSC SKIF","Russia",2011,"Academic",8832,0,100400,117000,86,1042080,0,NA,NA,"Cluster","Xeon X5680 6C 3.330GHz","Intel Nehalem",3330,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","SKIF Aurora Platform","NOW - Intel","Infiniband","Infiniband QDR","Eastern Europe","Europe"
