"","top500rank","green500rank.g","site.g","manufacturer.g","computer.g","country.g","mflopswatt.g","power.g","how.g","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcores.t","rmax.t","rpeak.t","effeciency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","accelerator.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"1",1,32,"RIKEN Advanced Institute for Computational Science (AICS)","Fujitsu","K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","Japan",830.18,12659.89,"Top500","","K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","RIKEN Advanced Institute for Computational Science (AICS)","Fujitsu","Japan",2011,"Research",705024,0,10510000,11280384,93.17,11870208,0,12659.89,830.18,"Cluster","SPARC64 VIIIfx 8C 2.00GHz","Sparc",2000,"Linux","Linux","None",8,"SPARC64 VIIIfx","K computer","Fujitsu Cluster","Custom Interconnect","Custom","Eastern Asia","Asia"
"2",2,47,"National Supercomputing Center in Tianjin","NUDT","NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050","China",635.15,4040,"Top500","Tianhe-1A","NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050","National Supercomputing Center in Tianjin","NUDT","China",2010,"Research",186368,100352,2566000,4701000,54.58,3600000,1000000,4040,635.15,"MPP","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon X56xx (Westmere-EP)","NUDT YH MPP","NUDT MPP","Proprietary Network","Proprietary","Eastern Asia","Asia"
"3",3,149,"DOE/SC/Oak Ridge National Laboratory","Cray Inc.","Cray XT5-HE Opteron 6-core 2.6 GHz","United States",253.09,6950,"Top500","Jaguar","Cray XT5-HE Opteron 6-core 2.6 GHz","DOE/SC/Oak Ridge National Laboratory","Cray Inc.","United States",2009,"Research",224162,0,1759000,2331000,75.46,5474272,0,6950,253.09,"MPP","Opteron Six Core 6C 2.60GHz","AMD x86_64",2600,"Linux","Linux","None",6,"Opteron Six Core","Cray XT5-HE","Cray XT","Proprietary Network","Proprietary","North America","Americas"
"4",4,56,"National Supercomputing Centre in Shenzhen (NSCS)","Dawning","Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050","China",492.64,2580,"Top500","Nebulae","Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050","National Supercomputing Centre in Shenzhen (NSCS)","Dawning","China",2010,"Research",120640,64960,1271000,2984300,42.59,2359296,0,2580,492.64,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2050",6,"Xeon X56xx (Westmere-EP)","Dawning TC3600 Blade System","Dawning Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"5",5,10,"GSIC Center, Tokyo Institute of Technology","NEC/HP","HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","Japan",958.35,1243.8,"Top500","TSUBAME 2.0","HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","GSIC Center, Tokyo Institute of Technology","NEC/HP","Japan",2010,"Academic",73278,56994,1192000,2287630,52.11,2490368,0,1398.61,852.27,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon X56xx (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"6",6,135,"DOE/NNSA/LANL/SNL","Cray Inc.","Cray XE6, Opteron 6136 8C 2.40GHz, Custom","United States",278.89,3980,"Top500","Cielo","Cray XE6, Opteron 6136 8C 2.40GHz, Custom","DOE/NNSA/LANL/SNL","Cray Inc.","United States",2011,"Research",142272,0,1110000,1365811.2,81.27,0,0,3980,278.89,"MPP","Opteron 6136 8C 2.40GHz","AMD x86_64",2400,"Linux","Linux","None",8,"Opteron 8 Core","Cray XE6","Cray XE","Custom Interconnect","Custom","North America","Americas"
"7",7,142,"NASA/Ames Research Center/NAS","SGI","SGI Altix ICE 8200EX/8400EX, Xeon HT QC 3.0/Xeon 5570/5670 2.93 Ghz, Infiniband","United States",265.24,4102,"Top500","Pleiades","SGI Altix ICE 8200EX/8400EX, Xeon HT QC 3.0/Xeon 5570/5670 2.93 Ghz, Infiniband","NASA/Ames Research Center/NAS","SGI","United States",2011,"Research",111104,0,1088000,1315328,82.72,3344040,0,4102,265.24,"MPP","Xeon E5450 4C 3.00GHz","Intel Core",3000,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","SGI Altix ICE 8200EX/8400EX","SGI Altix","Infiniband","Infiniband","North America","Americas"
"8",8,94,"DOE/SC/LBNL/NERSC","Cray Inc.","Cray XE6, Opteron 6172 12C 2.10GHz, Custom","United States",362.2,2910,"Top500","Hopper","Cray XE6, Opteron 6172 12C 2.10GHz, Custom","DOE/SC/LBNL/NERSC","Cray Inc.","United States",2010,"Research",153408,0,1054000,1288627.2,81.79,4537344,0,2910,362.2,"MPP","Opteron 6172 12C 2.10GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 12 Core","Cray XE6","Cray XE","Custom Interconnect","Custom","North America","Americas"
"9",9,165,"Commissariat a l'Energie Atomique (CEA)","Bull SA","Bull bullx super-node S6010/S6030","France",228.76,4590,"Top500","Tera-100","Bull bullx super-node S6010/S6030","Commissariat a l'Energie Atomique (CEA)","Bull SA","France",2010,"Research",138368,0,1050000,1254550,83.7,4926336,0,4590,228.76,"Cluster","Xeon X7560 8C 2.26GHz","Intel Nehalem",2260,"Linux","Linux","None",8,"Xeon 75xx (Nehalem-EX)","bullx super-node S6010/S6030","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe"
"10",10,62,"DOE/NNSA/LANL","IBM","BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband","United States",444.35,2345,"Submission","Roadrunner","BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband","DOE/NNSA/LANL","IBM","United States",2009,"Research",122400,110160,1042000,1375776,75.74,2249343,0,2345,444.35,"Cluster","PowerXCell 8i 9C 3.20GHz","Power",3200,"Linux","Linux","IBM PowerXCell 8i",9,"PowerXCell 8i","BladeCenter QS22 Cluster","IBM BladeCenter","Infiniband","Infiniband","North America","Americas"
"11",11,129,"National Institute for Computational Sciences/University of Tennessee","Cray Inc.","Cray XT5-HE Opteron Six Core 2.6 GHz","United States",297.44,3090,"Top500","Kraken XT5","Cray XT5-HE Opteron Six Core 2.6 GHz","National Institute for Computational Sciences/University of Tennessee","Cray Inc.","United States",2011,"Academic",112800,0,919100,1173000,78.35,3844936,0,3090,297.44,"MPP","Opteron Six Core 6C 2.60GHz","AMD x86_64",2600,"Linux","Linux","None",6,"Opteron Six Core","Cray XT5-HE","Cray XT","Proprietary Network","Proprietary","North America","Americas"
"12",12,61,"HWW/Universitaet Stuttgart","Cray Inc.","Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect","Germany",449.41,1850,"Submission","HERMIT","Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect","HWW/Universitaet Stuttgart","Cray Inc.","Germany",2011,"Industry",113472,0,831400,1043942.4,79.64,3555552,0,NA,NA,"MPP","Opteron 6276 16C 2.30GHz","AMD x86_64",2300,"Cray Linux Environment ","Linux","None",16,"Opteron 6200 Series","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","Western Europe","Europe"
"13",13,92,"Forschungszentrum Juelich (FZJ)","IBM","Blue Gene/P Solution","Germany",363.98,2268,"Submission","JUGENE","Blue Gene/P Solution","Forschungszentrum Juelich (FZJ)","IBM","Germany",2009,"Research",294912,0,825500,1002701,82.33,0,0,2268,363.98,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","Western Europe","Europe"
"14",14,39,"National Supercomputing Center in Jinan","National Research Center of Parallel Computer Engineering & Technology","Sunway BlueLight MPP, ShenWei processor SW1600 975.00 MHz, Infiniband QDR","China",741.06,1074,"Submission","Sunway Blue Light","Sunway BlueLight MPP, ShenWei processor SW1600 975.00 MHz, Infiniband QDR","National Supercomputing Center in Jinan","National Research Center of Parallel Computer Engineering & Technology","China",2011,"Research",137200,0,795900,1070160,74.37,3375120,0,1074,741.06,"Cluster","ShenWei processor SW1600 16C 975MHz","Others",975,"Linux","Linux","None",16,"ShenWei","Sunway BlueLight MPP","Sunway BlueLight MPP","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"15",15,50,"Lawrence Livermore National Laboratory","Appro International","Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","United States",617.08,1253.8,"Submission","Zin","Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","Lawrence Livermore National Laboratory","Appro International","United States",2011,"Research",46208,0,773700,961126.4,80.5,3260400,1630200,924.16,837.19,"Cluster","Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
"16",16,43,"National Super Computer Center in Hunan","NUDT","NUDT YH MPP, Xeon X5670 6C 2.93 GHz, Proprietary, NVIDIA 2050","China",668.1,1155.07,"Top500","Tianhe-1A Hunan Solution","NUDT YH MPP, Xeon X5670 6C 2.93 GHz, Proprietary, NVIDIA 2050","National Super Computer Center in Hunan","NUDT","China",2011,"Research",53248,28672,771700,1342750.72,57.47,2200000,0,1155.07,668.1,"MPP","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon X56xx (Westmere-EP)","NUDT YH MPP","NUDT MPP","Proprietary Network","Proprietary","Eastern Asia","Asia"
"17",17,4,"DOE/NNSA/LLNL","IBM","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","United States",1988.56,340.5,"Submission","","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","DOE/NNSA/LLNL","IBM","United States",2011,"Research",65536,0,677104,838861,80.72,2719743,0,340.5,1988.56,"MPP","Power BQC 16C 1.60GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom","North America","Americas"
"18",18,153,"Moscow State University - Research Computing Center","T-Platforms","T-Platforms T-Blade2/1.1, Xeon X5570/X5670 2.93 GHz, Nvidia 2070 GPU, Infiniband QDR","Russia",240.75,2800,"Top500","Lomonosov","T-Platforms T-Blade2/1.1, Xeon X5570/X5670 2.93 GHz, Nvidia 2070 GPU, Infiniband QDR","Moscow State University - Research Computing Center","T-Platforms","Russia",2011,"Academic",33072,21756,674105,1373060,49.1,2073599,0,2800,240.75,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2070",6,"Xeon X56xx (Westmere-EP)","T-Platforms T-Blade2","T-Platforms Cluster","Infiniband","Infiniband","Eastern Europe","Europe"
"19",19,95,"University of Edinburgh","Cray Inc.","Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect","United Kingdom",361.79,1824.93,"derived","HECToR","Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect","University of Edinburgh","Cray Inc.","United Kingdom",2011,"Academic",90112,0,660243,829030.4,79.64,0,0,NA,NA,"MPP","Opteron 6276 16C 2.30GHz","AMD x86_64",2300,"Cray Linux Environment ","Linux","None",16,"Opteron 6200 Series","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","Northern Europe","Europe"
"20",20,53,"NOAA/Oak Ridge National Laboratory","Cray Inc.","Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect","United States",582,972,"Top500","Gaea C2","Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect","NOAA/Oak Ridge National Laboratory","Cray Inc.","United States",2011,"Research",77824,0,565700,715981,79.01,0,0,972,582,"MPP","Opteron 6276 16C 2.30GHz","AMD x86_64",2300,"Cray Linux Environment ","Linux","None",16,"Opteron 6200 Series","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","North America","Americas"
"21",21,9,"Institute of Process Engineering, Chinese Academy of Sciences","IPE, Nvidia, Tyan","Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050","China",963.7,515.2,"Submission","Mole-8.5","Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050","Institute of Process Engineering, Chinese Academy of Sciences","IPE, Nvidia, Tyan","China",2011,"Academic",29440,0,496500,1012650,49.03,768000,0,540,919.44,"Cluster","Xeon X5520 4C 2.27GHz","Intel EM64T",2267,"Linux","Linux","NVIDIA 2050",4,"Xeon X55xx (Nehalem-EP)","Mole-8.5 Cluster","Mole-8.5 Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"22",22,192,"DOE/NNSA/LLNL","IBM","eServer Blue Gene Solution","United States",205.32,2329,"Submission","BlueGene/L","eServer Blue Gene Solution","DOE/NNSA/LLNL","IBM","United States",2007,"Research",212992,0,478200,596378,80.18,2456063,0,2329,205.32,"MPP","PowerPC 440 2C 700MHz","Power",700,"CNK/SLES 9","Mixed","None",2,"PowerPC 440","BlueGene/L","IBM BlueGene","Proprietary Network","Proprietary","North America","Americas"
"23",23,93,"DOE/SC/Argonne National Laboratory","IBM","Blue Gene/P Solution","United States",363.98,1260,"Submission","Intrepid","Blue Gene/P Solution","DOE/SC/Argonne National Laboratory","IBM","United States",2007,"Research",163840,0,458611,557056,82.33,0,0,1260,363.98,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","North America","Americas"
"24",24,386,"Sandia National Laboratories / National Renewable Energy Laboratory","Sun Microsystems","Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband","United States",99.8,4343.73,"derived","Red Sky","Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband","Sandia National Laboratories / National Renewable Energy Laboratory","Sun Microsystems","United States",2010,"Research",42440,0,433500,497396,87.15,2504421,0,NA,NA,"Cluster","Xeon X5570 4C 2.93GHz","Intel EM64T",2930,"CentOS","Linux","None",4,"Xeon X55xx (Nehalem-EP)","Sun Blade x6275","Sun Blade System","Infiniband","Infiniband","North America","Americas"
"25",25,176,"Texas Advanced Computing Center/Univ. of Texas","Sun Microsystems","SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband","United States",216.6,2000,"Top500","Ranger","SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband","Texas Advanced Computing Center/Univ. of Texas","Sun Microsystems","United States",2008,"Academic",62976,0,433200,579379.2,74.77,0,0,2000,216.6,"Cluster","Opteron Quad Core 4C 2.30GHz","AMD x86_64",2300,"Linux","Linux","None",4,"Opteron Quad Core","Sun Blade x6420","Sun Blade System","Infiniband","Infiniband","North America","Americas"
"26",26,91,"DOE/NNSA/LLNL","IBM","Blue Gene/P Solution","United States",366.58,1134,"Submission","Dawn","Blue Gene/P Solution","DOE/NNSA/LLNL","IBM","United States",2009,"Research",147456,0,415700,501350,82.92,2958335,0,1134,366.58,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","North America","Americas"
"27",27,35,"TGCC / GENCI","Bull SA","Curie Thin Nodes - Bullx B510, Xeon E5 (Sandy Bridge - EP) 8C 2.70GHz, Infiniband QDR","France",801.93,450,"Submission","Bull Benchmarks SuperComputer II","Bullx B510, Xeon E5 (Sandy Bridge - EP) 8C 2.70GHz, Infiniband QDR","Bull","Bull SA","France",2011,"Vendor",20480,0,360868,442368,81.58,2568384,0,NA,NA,"Cluster","Xeon E5 (Sandy Bridge - EP) 8C 2.70GHz","Intel SandyBridge",2700,"bullx SUperCOmputer Suite A.E.2.1","Linux","None",8,"Intel Xeon E5","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe"
"28",28,34,"International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration","Bull SA","Bullx B510, Xeon E5 (Sandy Bridge - EP) 8C 2.70GHz, Infiniband QDR","Japan",805.51,448,"Submission","Helios","Bullx B510, Xeon E5 (Sandy Bridge - EP) 8C 2.70GHz, Infiniband QDR","International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration","Bull SA","Japan",2011,"Academic",20480,0,360868,442368,81.58,2568384,0,NA,NA,"Cluster","Xeon E5 (Sandy Bridge - EP) 8C 2.70GHz","Intel SandyBridge",2700,"bullx SUperCOmputer Suite A.E.2.1","Linux","None",8,"Intel Xeon E5","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"29",29,3,"IBM - Rochester","IBM","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","United States",1996.09,170.25,"Submission","","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","IBM - Rochester","IBM","United States",2011,"Vendor",32768,0,339834,419430.4,81.02,1949695,0,170.25,1996.09,"MPP","Power BQC 16C 1.60GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom","North America","Americas"
"30",30,333,"Air Force Research Laboratory - ARFL DSRC","Cray Inc.","Cray XE6 8-core 2.4 GHz","United States",143,2351.81,"Derived","Raptor","Cray XE6 8-core 2.4 GHz","Air Force Research Laboratory - ARFL DSRC","Cray Inc.","United States",2010,"Research",42712,0,336300,410035.2,82.02,0,0,NA,NA,"MPP","Opteron 6136 8C 2.40GHz","AMD x86_64",2400,"Linux","Linux","None",8,"Opteron 8 Core","Cray XE6","Cray XE","Custom Interconnect","Custom","North America","Americas"
"31",31,239,"Korea Meteorological Administration","Cray Inc.","Cray XE6 12-core 2.1 GHz","Korea, South",184.84,1711.76,"Derived","Haeon","Cray XE6 12-core 2.1 GHz","Korea Meteorological Administration","Cray Inc.","Korea, South",2010,"Research",45120,0,316400,379008,83.48,0,0,1711.6,184.86,"MPP","Opteron 6172 12C 2.10GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 12 Core","Cray XE6","Cray XE","Custom Interconnect","Custom","Eastern Asia","Asia"
"32",32,240,"Korea Meteorological Administration","Cray Inc.","Cray XE6 12-core 2.1 GHz","Korea, South",184.84,1711.76,"Derived","Haedam","Cray XE6 12-core 2.1 GHz","Korea Meteorological Administration","Cray Inc.","Korea, South",2010,"Research",45120,0,316400,379008,83.48,0,0,1711.6,184.86,"MPP","Opteron 6172 12C 2.10GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 12 Core","Cray XE6","Cray XE","Custom Interconnect","Custom","Eastern Asia","Asia"
"33",33,41,"Universitaet Frankfurt","Clustervision/Supermicro","Supermicro Cluster, QC Opteron 2.1 GHz, ATI Radeon GPU, Infiniband","Germany",718.14,416.77,"Derived","LOEWE-CSC","Supermicro Cluster, QC Opteron 2.1 GHz, ATI Radeon GPU, Infiniband","Universitaet Frankfurt","Clustervision/Supermicro","Germany",2011,"Academic",16368,0,299300,508499.2,58.86,2095104,0,416.78,718.12,"Cluster","Opteron 6172 12C 2.10GHz","AMD x86_64",2100,"Linux","Linux","ATI GPU",12,"Opteron 12 Core","SuperServer 2022TG-GIBQRF","Supermicro SuperServer","Infiniband","Infiniband QDR","Western Europe","Europe"
"34",34,126,"Swiss Scientific Computing Center (CSCS)","Cray Inc.","Cray XE6, Opteron 6272 16C 2.10 GHz, Cray Gemini interconnect","Switzerland",306.34,969.5,"derived","Monte Rosa","Cray XE6, Opteron 6272 16C 2.10 GHz, Cray Gemini interconnect","Swiss Scientific Computing Center (CSCS)","Cray Inc.","Switzerland",2011,"Research",47872,0,297000,402124.8,73.86,0,0,NA,NA,"MPP","Opteron 6272 16C 2.10GHz","AMD x86_64",2100,"Linux","Linux","None",16,"Opteron 6200 Series","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","Western Europe","Europe"
"35",35,306,"Government","Cray Inc.","Cray XE6 12-core 2.2 GHz","United States",171.17,1726.32,"derived","","Cray XE6 12-core 2.2 GHz","Government","Cray Inc.","United States",2010,"Classified",45504,0,295500,400435,73.79,0,0,NA,NA,"MPP","Opteron 6174 12C 2.20GHz","AMD x86_64",2200,"Linux","Linux","None",12,"Opteron 12 Core","Cray XE6","Cray XE","Custom Interconnect","Custom","North America","Americas"
"36",36,275,"Forschungszentrum Juelich (FZJ)","Bull SA","Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation","Germany",177.4,1549,"Top500","JUROPA","Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation","Forschungszentrum Juelich (FZJ)","Bull SA","Germany",2009,"Research",26304,0,274800,308282.88,89.14,0,0,1549,177.4,"Cluster","Xeon X5570 4C 2.93GHz","Intel EM64T",2930,"SUSE Linux","Linux","None",4,"Xeon X55xx (Nehalem-EP)","NovaScale R422-E2/Sun Blade 6048 system","Sun-Bull-ParTec Cluster","Infiniband","Infiniband QDR Sun M9 / Mellanox / ParTec","Western Europe","Europe"
"37",37,178,"KISTI Supercomputing Center","Sun Microsystems","Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition","Korea, South",215.53,1275,"Top500","TachyonII","Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition","KISTI Supercomputing Center","Sun Microsystems","Korea, South",2009,"Research",26232,0,274800,307439.04,89.38,0,0,1275,215.53,"Cluster","Xeon X5570 4C 2.93GHz","Intel EM64T",2930,"CentOS","Linux","None",4,"Xeon X55xx (Nehalem-EP)","Sun Blade 6048","Sun Blade System","Infiniband","Infiniband","Eastern Asia","Asia"
"38",38,161,"DOE/SC/LBNL/NERSC","Cray Inc.","Cray XT4 QuadCore 2.3 GHz","United States",231.57,1150,"Top500","Franklin","Cray XT4 QuadCore 2.3 GHz","DOE/SC/LBNL/NERSC","Cray Inc.","United States",2008,"Research",38642,0,266300,355506,74.91,1612399,0,1150,231.57,"MPP","Opteron Quad Core 4C 2.30GHz","AMD x86_64",2300,"CNL","Linux","None",4,"Opteron Quad Core","Cray XT4 QuadCore","Cray XT","Proprietary Network","XT4 Internal Interconnect","North America","Americas"
"39",39,326,"Texas Advanced Computing Center/Univ. of Texas","Dell","Dell PowerEdge M610 Cluster, Xeon 5680 3.3Ghz, Infiniband QDR","United States",150.71,1670.78,"derived","Lonestar 4","Dell PowerEdge M610 Cluster, Xeon 5680 3.3Ghz, Infiniband QDR","Texas Advanced Computing Center/Univ. of Texas","Dell","United States",2011,"Academic",22656,0,251800,301777,83.44,2128224,0,NA,NA,"Cluster","Xeon X5680 6C 3.33GHz","Intel Nehalem",3330,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","PowerEdge M610 Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband QDR","North America","Americas"
"40",40,346,"Airbus","Hewlett-Packard","HP POD - Cluster Platform 3000 BL260c G6, X5675 3.06 GHz, Infiniband","France",134.42,1814.4,"derived","","HP POD - Cluster Platform 3000 BL260c G6, X5675 3.06 GHz, Infiniband","Airbus","Hewlett-Packard","France",2011,"Industry",24192,0,243900,296110,82.37,0,0,NA,NA,"Cluster","Xeon X5675 6C 3.06GHz","Intel Nehalem",3060,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL260c G6","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","Western Europe","Europe"
"41",41,63,"Calcul Canada/Calcul Qu√©bec/Universit√© de Sherbrooke","SGI","Rackable C2112-4G3 Cluster, Opteron 12 Core 2.10 GHz, Infiniband QDR","Canada",443.08,542.34,"derived","","Rackable C2112-4G3 Cluster, Opteron 12 Core 2.10 GHz, Infiniband QDR","Calcul Canada/Calcul Québec/Université de Sherbrooke","SGI","Canada",2011,"Academic",37728,0,240300,316915.2,75.82,2030280,0,NA,NA,"Cluster","Opteron 6172 12C 2.10GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 12 Core","Rackable C2112-4G3 Cluster","Rackable Cluster","Infiniband","Infiniband QDR","North America","Americas"
"42",42,45,"Amazon Web Services","Self-made","Amazon EC2 Cluster, Xeon 8C 2.60GHz, 10G Ethernet","United States",654.05,367.08,"derived","Amazon EC2 Cluster Compute Instances","Amazon EC2 Cluster, Xeon 8C 2.60GHz, 10G Ethernet","Amazon Web Services","Self-made","United States",2011,"Industry",17024,0,240090,354099.2,67.8,2691392,0,NA,NA,"Cluster","Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","Amazon EC2 Cluster","NOW - Intel","Gigabit Ethernet","10G Ethernet","North America","Americas"
"43",43,169,"Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES)","SGI","SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz","France",223.5,1064,"Top500","Jade","SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz","Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES)","SGI","France",2010,"Academic",23040,0,237800,267878.4,88.77,2487240,0,1064,223.5,"MPP","Xeon E5450 4C 3.00GHz","Intel Core",3000,"SLES10 + SGI ProPack 5","Linux","None",4,"Xeon 5400-series ""Harpertown""","SGI Altix ICE 8200EX","SGI Altix","Infiniband","Infiniband","Western Europe","Europe"
"44",44,44,"KTH - Royal Institute of Technology","Cray Inc.","Cray XE6, Opteron 12 Core 2.10 GHz, Custom","Sweden",658.36,360.29,"Derived","Lindgren","Cray XE6, Opteron 12 Core 2.10 GHz, Custom","KTH - Royal Institute of Technology","Cray Inc.","Sweden",2011,"Academic",36384,0,237200,305625.6,77.61,0,0,NA,NA,"MPP","Opteron 6172 12C 2.10GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 12 Core","Cray XE6","Cray XE","Custom Interconnect","Custom","Northern Europe","Europe"
"45",45,31,"Los Alamos National Laboratory","Appro International","Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","United States",838.42,281.6,"Top500","Luna","Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","Los Alamos National Laboratory","Appro International","United States",2011,"Research",14080,0,236100,292864,80.62,1569456,784728,281.6,838.42,"Cluster","Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
